Title,Date,Tag
"""البحر الأحمر"" توصي بزيادة رأسمالها عن طريق تحويل ديون بـ 374.23 مليون ريال",3 أغسطس 06:53 م,اندماجات واستحواذات
"""رواسي"" توقع عقداً مع ""السعودية للكهرباء"" لتنفيذ مشروع إضافة خلايا جديدة بالخرج",3 أغسطس 06:45 م,أخبار الشركة
"وزارة الطاقة تجدد لـ""الدريس"" شهادة التأهيل لإدارة وتشغيل وصيانة محطات الوقود",3 أغسطس 06:39 م,أخبار الشركة
"""المعمر"" توقع اتفاقية تمويل بنكي مع بنك الرياض",3 أغسطس 06:32 م,أخبار الشركة
"خسائر ""تكوين"" تقفز إلى 30 مليون ريال بالربع الثاني من عام 2023",3 أغسطس 06:08 م,نتائج أعمال الشركات
"""باتك"" تتحول للربحية بالربع الثاني 2023 لزيادة الإيرادات وانخفاض التكاليف",3 أغسطس 05:45 م,نتائج أعمال الشركات
"أرباح ""السعودي الألماني الصحية"" تقفز 286% في الربع الثاني بدعم التوسعات الجديدة",3 أغسطس 05:31 م,نتائج أعمال الشركات
"سهم ""أمريكانا"" يشهد نشاطاً إيجابياً بالسوق السعودي مسجلاً أعلى مكاسب بعام 2023",3 أغسطس 02:37 م,حركة التداولات
"محدث.. ""تداول"" يشهد تنفيذ 6 صفقات خاصة على أسهم قيادية بـ493 مليون ريال",3 أغسطس 02:07 م,حركة التداولات
"""تداول"": تعيين الأهلي المالية كصانع سوق لأسهم شركة ""أرامكو السعودية""",3 أغسطس 02:03 م,تداول
"""أمريكانا"": نتمتع بوضع جيد يؤهّلنا لمتابعة النمو عبر الأسواق التي نعمل بها",3 أغسطس 11:08 ص,أخبار الشركة
"""سابك"": سنواصل ضبط النفقات الرأسمالية ونقدر إنفاق 3.8 مليار دولار في 2023",3 أغسطس 10:39 ص,أخبار الشركة
"""بوان"" تقرر توزيع 39 مليون ريال على المساهمين عن النصف الأول يوم 17 سبتمبر",3 أغسطس 10:08 ص,توزيعات نقدية
"""مرافق"" تقرر توزيع 275 مليون ريال نقداً عن النصف الأول وتحدد موعد الصرف",3 أغسطس 09:59 ص,توزيعات نقدية
"أرباح ""سابك"" تتراجع إلى 1.18 مليار ريال بالربع الثاني من عام 2023",3 أغسطس 09:52 ص,نتائج أعمال الشركات
"""نادك"" توقع مذكرة مع ""المتحدة للأعلاف"" لدراسة تأسيس مشروع تربية حيوانية",3 أغسطس 09:46 ص,استثمارات الشركات
"""التموين"" تجدد عقدها مع طيران أديل لمدة 4 سنوات بقيمة 120 مليون ريال",3 أغسطس 09:25 ص,استثمارات الشركات
"أرباح ""أمريكانا"" تصعد 76% في الربع الثاني من عام 2023 بدعم المبيعات",3 أغسطس 09:13 ص,نتائج أعمال الشركات
"أرباح ""أنابيب السعودية"" تقفز 645% بالربع الثاني 2023 لزيادة حجم المبيعات",3 أغسطس 09:03 ص,نتائج أعمال الشركات
"""جرير"" تقرر توزيع 180 مليون ريال على المساهمين عن الربع الثاني 2023",3 أغسطس 08:49 ص,مفكرة الاحداث
"انخفاض أسعار البيع يهبط بأرباح ""بوان"" 43.8% في الربع الثاني لعام 2023",3 أغسطس 08:42 ص,نتائج أعمال الشركات
"أرباح ""أسترا الصناعية"" تتراجع إلى 114.74 مليون ريال بالربع الثاني لعام 2023",3 أغسطس 08:32 ص,نتائج أعمال الشركات
"تابعة لـ""منشآت"" ترفع دعوى قضائية ضد مطور في السعودية",3 أغسطس 08:24 ص,أخبار الشركة
"مساهمو ""أسلاك"" يقرون تخفيض رأس المال لزيادته عن الحاجة",3 أغسطس 08:21 ص,جمعيات عمومية
"أرباح ""مرافق"" تهبط 39% بالربع الثاني 2023 لانخفاض الإيرادات التشغيلية",3 أغسطس 08:13 ص,نتائج أعمال الشركات
8 بنوك سعودية توصي بتوزيعات 17 مليار ريال أرباحاً نقدية عن النصف الأول,2 أغسطس 04:45 م,تقارير قطاعية
"""متطورة"" تعلن إتمام صفقة شراء 6ملايين سهم في ""أكاديمية التعلم"" بـ47.3 مليون ريال",2 أغسطس 04:37 م,أخبار الشركة
"""زجاج"" تعلن توزيع الأرباح النقدية للمساهمين عن النصف الأول يوم 15 أغسطس",2 أغسطس 04:15 م,مفكرة الاحداث
"""مسك"" تتحول للربحية بالربع الثاني.. وتسجل انخفاضا بخسائرها المتراكمة",2 أغسطس 04:01 م,نتائج أعمال الشركات
"شركة أبحاث تحدد مستهدف ""سابك للمغذيات"" عند 144 ريالاً للسهم.. وتوصية بـ""محايد""",2 أغسطس 12:07 م,تقييمات وتوصيات الأسهم
"مساهمو ""أماك"" يقرون زيادة رأس المال إلى 900 مليون ريال بأسهم منحة مجانية",2 أغسطس 10:16 ص,اجراءات الشركات
"""العبيكان للزجاج"" توقّع اتفاقية مع ""مصنع الإسراء"" بـ73 مليون ريال",2 أغسطس 10:15 ص,أخبار الشركة
"""النهدي الطبية"" تقرر توزيع 325 مليون ريال عن النصف الأول 2023",2 أغسطس 10:06 ص,توزيعات نقدية
"أرباح ""رواسي"" ترتفع 60% بالنصف الأول بدعم الإيرادات",2 أغسطس 10:02 ص,نتائج أعمال الشركات
"تراجع الطلب يهبط بأرباح ""أسمنت ينبع"" 26.6% بالربع الثاني 2023",2 أغسطس 09:53 ص,نتائج أعمال الشركات
"""التموين"" تقرر توزيع 82 مليون ريال أرباحاً نقدية عن النصف الأول يوم 31 أغسطس",2 أغسطس 09:53 ص,توزيعات نقدية
"""الحفر العربية"" توصي بتوزيع 225.17 مليون ريال عن النصف الأول 2023",2 أغسطس 09:41 ص,توزيعات نقدية
"أرباح ""النهدي"" تتراجع إلى 265 مليون ريال بالربع الثاني 2023",2 أغسطس 09:32 ص,نتائج أعمال الشركات
"تحسن المبيعات يقفز بأرباح ""التموين"" 46.5% إلى 63.7 مليون ريال بالربع الثاني 2023",2 أغسطس 09:21 ص,نتائج أعمال الشركات
"3 عوامل تهبط بأرباح ""اللجين"" بـ73% بالربع الثاني للعام 2023",2 أغسطس 09:11 ص,نتائج أعمال الشركات
"أرباح ""الحفر العربية"" ترتفع إلى 140 مليون ريال بالربع الثاني للعام 2023",2 أغسطس 08:58 ص,نتائج أعمال الشركات
"الإيردات ترتفع بالأرباح الفصلية لـ""الأبحاث والإعلام"" إلى 181.6 مليون ريال",2 أغسطس 08:48 ص,نتائج أعمال الشركات
"المبيعات تهبط بأرباح ""أبومعطي"" بالربع الأول المنتهي في يونيو 2023",2 أغسطس 08:38 ص,نتائج أعمال الشركات
"أرباح ""الدواء"" تقفز بالربع الثاني إلى 89.33 مليون ريال",2 أغسطس 08:29 ص,نتائج أعمال الشركات
"""البابطين الغذائية"" توقع مذكرة جديدة مع ""الأعمال التجارية"" لتحديد نسبة الاستحواذ",2 أغسطس 08:20 ص,اندماجات واستحواذات
"هيئة السوق توافق على زيادة رأسمال ""دار المعدات"" بمنح أسهم مجانية",1 أغسطس 05:31 م,اجراءات الشركات
"تابعة لـ""لدن"" توقع مشروعاً مع هيئة الإحصاء بـ57.5 مليون ريال",1 أغسطس 04:51 م,أخبار الشركة
"""المجموعة السعودية"" تقرر توزيع 377.4 مليون ريال عن النصف الأول 2023",1 أغسطس 04:29 م,توزيعات نقدية
"""رؤوم"" تقرر توزيع 1.25 ريال أرباح نقدية على المساهمين عن النصف الأول",1 أغسطس 04:20 م,توزيعات نقدية
"أرباح ""أملاك"" تتراجع 77.9% بالربع الثاني من 2023",1 أغسطس 04:09 م,نتائج أعمال الشركات
"الأرباح الفصلية لـ""المجموعة السعودية"" تهبط 58% إلى 120 مليون ريال",1 أغسطس 04:09 م,نتائج أعمال الشركات
"انخفاض المبيعات يهبط بأرباح ""نسيج"" بنسبة 89.4% بالربع الثاني 2023",1 أغسطس 03:51 م,نتائج أعمال الشركات
"شركة أبحاث تحدد السعر المستهدف لـ""كيان"" عند 14.5 ريال وتوصية بـ""محايد""",1 أغسطس 12:03 م,تقييمات وتوصيات الأسهم
"محدث.. ""تداول"" يشهد تنفيذ 5 صفقات خاصة بقيمة 401.8 مليون ريال",1 أغسطس 11:57 ص,حركة التداولات
"شركة أبحاث تتوقع ارتفاع تكاليف التمويل لـ""التصنيع"" لزيادة أسعار الفائدة",1 أغسطس 11:39 ص,تقييمات وتوصيات الأسهم
"""المطاحن الأولى"" توقع عقداً لشراء مطحنتين جديدتين لزيادة طاقتها الإنتاجية",1 أغسطس 10:45 ص,استثمارات الشركات
"""جاهز"" تمدد اتفاقية للاستحواذ على ""ذا شفز"" حتى نهاية أكتوبر المقبل",1 أغسطس 10:09 ص,اندماجات واستحواذات
"""رتال"" تقرر توزيع 80 مليون ريال عن النصف الأول لعام 2023",1 أغسطس 09:53 ص,توزيعات نقدية
"""زهرة الواحة"" تعلن بدء تشغيل خطي إنتاج أغطية القوارير البلاستيكية",1 أغسطس 09:38 ص,استثمارات الشركات
"أرباح ""أسمنت اليمامة"" ترتفع إلى 98.3 مليون ريال بالربع الثاني من عام 2023",1 أغسطس 09:27 ص,نتائج أعمال الشركات
"أرباح ""رتال"" تقفز 136% بالربع الثاني لارتفاع إيرادات عقود التطوير",1 أغسطس 09:16 ص,نتائج أعمال الشركات
"""صندوق الاستثمارات"" يوقع اتفاقية للاستحواذ على حصة في ""مبكو"" بـ630 مليون ريال",1 أغسطس 08:59 ص,اجراءات الشركات
"أرباح ""سابك للمغذيات الزراعية"" تهبط 78.5% بالربع الثاني لانخفاض أسعار المنتجات",1 أغسطس 08:38 ص,نتائج أعمال الشركات
"أرباح ""بوبا العربية"" ترتفع إلى 432.3 مليون ريال بالربع الثاني 2023",1 أغسطس 08:27 ص,نتائج أعمال الشركات
"مساهمو ""أسمنت حائل"" يقرون تحويل 58.35 مليون ريال للأرباح المبقاة",1 أغسطس 08:17 ص,جمعيات عمومية
"""الصقر"" تعلن بدء فترة اعتراض الدائنين بشأن الاندماج مع ""اتحاد الخليج الأهلية""",31 يوليو 06:29 م,اندماجات واستحواذات
"27 أغسطس.. مساهمو ""سلامة للتأمين"" يناقشون زيادة رأس المال بنسبة 100%",31 يوليو 06:06 م,جمعيات عمومية
"27 أغسطس.. مساهمو ""تام التنموية"" يصوتون على توزيع 85 هللة للسهم",31 يوليو 04:52 م,توزيعات نقدية
"الأرباح الفصلية لـ""شاكر"" ترتفع 36.3% إلى 15.88 مليون ريال",31 يوليو 04:43 م,نتائج أعمال الشركات
"""أنابيب الشرق"" تتحول للخسارة بالربع الثاني لانخفاض الإيرادات",31 يوليو 04:23 م,أخبار الشركة
أصول البنوك السعودية ترتفع إلى 953.87 مليار دولار بنهاية الربع الثاني من 2023,31 يوليو 04:09 م,بنوك ومالية
"أرباح ""أسمنت نجران"" تتراجع 44.5% في الربع الثاني من 2023",31 يوليو 04:03 م,نتائج أعمال الشركات
"""المعمر"" تعدل وتجدد اتفاقية تسهيلات بنكية مع ""الأهلي"" بـ11.36 مليون ريال",31 يوليو 03:54 م,أخبار الشركة
"سهم ""الحفر العربية"" يقفز لأعلى مستوياته منذ الإدراج بعد توقيع عقود مع ""أرامكو""",31 يوليو 12:59 م,حركة التداولات
"محدث.. ""تداول"" يشهد تنفيذ 8 صفقات خاصة بقيمة 229 مليون ريال",31 يوليو 12:27 م,حركة التداولات
"الرئيس التنفيذي: ""المطاحن الأولى"" تتبنى استراتيجية نموّ مناسبة رغم التحديات",31 يوليو 12:19 م,أخبار الشركة
"مساهمو ""ميار"" يقرون وقف تجنيب مبالغ إضافية للاحتياطي النظامي",31 يوليو 10:21 ص,جمعيات عمومية
"""وقت اللياقة"" تقرر توزيع 0.75 ريال للسهم عن الربع الثاني 2023",31 يوليو 10:14 ص,توزيعات نقدية
"""تام التنموية"" تتسلم عقداً من الثقافة لمشروع هيئة الأفلام بـ43.7 مليون ريال",31 يوليو 10:14 ص,أخبار الشركة
"""الخبير ريت"" يعلن توزيع 14.8 مليون ريال على مالكي الوحدات عن الربع الثاني",31 يوليو 10:08 ص,توزيعات نقدية
"""الحفر العربية"" توقع عقوداً لـ10منصات حفر برية مع ""أرامكو"" بـ3 مليارات ريال",31 يوليو 10:01 ص,أخبار الشركة
"""المطاحن الأولى"" تقرر توزيع أرباح نقدية عن النصف الأول يوم 14 أغسطس",31 يوليو 09:56 ص,توزيعات نقدية
"""إكسترا"" تقرر توزيع 120 مليون سهم عن النصف الأول للعام 2023",31 يوليو 09:46 ص,توزيعات نقدية
"تكلفة التمويل تهبط بأرباح ""النايفات"" إلى 21.25 مليون ريال بالربع الثاني 2023",31 يوليو 09:38 ص,أخبار الشركة
"""جمجوم فارما"" تعلن زيادة رأسمال مشروعها المشترك في الجزائر",31 يوليو 09:17 ص,أخبار الشركة
"أرباح ""المطاحن الأولى"" تتراجع إلى 35 مليون ريال بالربع الثاني من عام 2023",31 يوليو 09:11 ص,نتائج أعمال الشركات
"""الفخارية"" تقلص خسائرها 95% في الربع الثاني من عام 2023",31 يوليو 08:51 ص,نتائج أعمال الشركات
"الأرباح الفصلية لـ""وقت اللياقة"" تقفز 101.4% لارتفاع أعداد المشتركين",31 يوليو 08:42 ص,نتائج أعمال الشركات
"ارتفاع هامشي لأرباح ""صناعة الورق"" في الربع الثاني 2023 بدعم المبيعات",31 يوليو 08:40 ص,نتائج أعمال الشركات
"""عزم"" تعلن ترسية مشروع مع وزارة الصناعة بـ18.5 مليون ريال",31 يوليو 08:28 ص,أخبار الشركة
"أرباح ""مرنة"" ترتفع إلى 13.3 مليون ريال بالربع الثاني لارتفاع الإيرادات",31 يوليو 08:19 ص,نتائج أعمال الشركات
"الصندوق العقاري و""البنك الأهلي"" يوقعان اتفاقية إطارية لتمويل برامج الدعم السكني",30 يوليو 05:55 م,بنوك ومالية
"أرباح ""رؤوم التجارية"" تقفز بالنصف الأول إلى 27.7 مليون ريال لارتفاع الإيرادات",30 يوليو 04:59 م,نتائج أعمال الشركات
"""طباعة وتغليف"" تتحول للخسائر بالربع الثاني.. و""المتراكمة"" 105.8 مليون ريال",30 يوليو 04:54 م,نتائج أعمال الشركات
"""الاتصالات السعودية "" تقرر توزيع 1.99 مليار ريال عن الربع الثاني من عام 2023",30 يوليو 04:45 م,مفكرة الاحداث
"""كيان"" تتكبد 392 مليون ريال خسائر في الربع الثاني من 2023",30 يوليو 04:43 م,نتائج أعمال الشركات
"""كيمانول"" تتحول للخسارة بالربع الثاني 2023 لانخفاض أسعار البيع",30 يوليو 04:41 م,نتائج أعمال الشركات
"""الأول"" يقرر توزيع 1.8 مليار ريال على المساهمين عن النصف الأول 2023",30 يوليو 04:24 م,مفكرة الاحداث
"الإيرادات تصعد بأرباح ""إس تي سي"" إلى 3.01 مليار ريال بالربع الثاني 2023",30 يوليو 04:11 م,نتائج أعمال الشركات
